Wall time,Step,Value
1747113398.575518,65979,2.4704737663269043
1747113727.4438188,66659,2.4893674850463867
1747113766.2724779,66759,2.3284082412719727
1747113852.6225982,66979,2.5429933071136475
1747113922.594538,67159,2.501439094543457
1747113977.033097,67299,2.455540418624878
1747113992.4881215,67339,2.4915895462036133
1747114015.870464,67399,2.5254647731781006
1747114031.3271935,67439,2.457872152328491
1747114070.916475,67539,2.6196818351745605
1747114078.53481,67559,2.5723700523376465
1747114140.8195336,67719,2.5251266956329346
1747114226.7717586,67939,2.4638853073120117
1747114257.8247266,68019,2.3987653255462646
1747114398.1601887,68219,2.4209158420562744
1747114429.3472528,68299,2.435511589050293
1747114460.3967807,68379,2.5861260890960693
1747114522.4611824,68539,2.5882346630096436
1747114561.7412314,68639,2.516453504562378
1747114680.0448647,68939,2.4144163131713867
1747114734.5206242,69079,2.5697503089904785
1747114790.1727898,69219,2.6156814098358154
1747114898.682624,69499,2.52178692817688
1747114906.4989076,69519,2.624077081680298
1747114914.2158341,69539,2.4858930110931396
1747114922.1384056,69559,2.3902885913848877
1747115031.970622,69679,2.5386722087860107
1747115047.2688832,69719,2.618966579437256
1747115101.9649034,69859,2.5298991203308105
1747115125.7259161,69919,2.4992196559906006
1747115211.3963177,70139,2.3301916122436523
1747115305.5786943,70379,2.357377290725708
1747115446.2412355,70739,2.6033904552459717
1747115492.9947386,70859,2.5366790294647217
1747115555.1384597,71019,2.4376699924468994
1747115680.1402946,71179,2.5607426166534424
1747115703.4048898,71239,2.431077241897583
1747115750.0831735,71359,2.651139736175537
1747115757.8589146,71379,2.27709698677063
1747115843.7834783,71599,2.474562644958496
1747115851.5048912,71619,2.466088056564331
1747115944.7161365,71859,2.5163326263427734
1747116045.9411976,72119,2.621152877807617
1747116053.7760644,72139,2.357633590698242
1747116061.4985085,72159,2.4767093658447266
1747116069.201553,72179,2.5635669231414795
1747116178.4510958,72459,2.50390887260437
1747116429.292549,72939,2.362731456756592
1747116452.7641263,72999,2.3771800994873047
1747116468.1215189,73039,2.430600881576538
1747116483.8045757,73079,2.414443016052246
1747116507.8277545,73139,2.395214080810547
1747116539.061197,73219,2.551783561706543
1747116562.5329287,73279,2.5379178524017334
1747116570.2331605,73299,2.407944917678833
1747116710.5091867,73659,2.231800079345703
1747116788.5992355,73859,2.4491825103759766
1747116883.169417,74099,2.4350388050079346
1747116976.7850368,74179,2.505596876144409
1747116984.4744332,74199,2.545712947845459
1747117093.6323323,74479,2.4010860919952393
1747117195.5348525,74739,2.474041223526001
1747117203.390034,74759,2.458460807800293
1747117218.8974562,74799,2.426842451095581
1747117226.641333,74819,2.515885829925537
1747117249.9207315,74879,2.54341197013855
1747117258.1116073,74899,2.4121882915496826
1747117266.016226,74919,2.534646987915039
1747117321.798795,75059,2.526249885559082
1747117337.3875115,75099,2.448087453842163
1747117470.6940873,75439,2.367170810699463
1747117486.2554235,75479,2.431328773498535
1747117493.9106352,75499,2.6284220218658447
1747117524.7988877,75579,2.5127813816070557
1747117548.205573,75639,2.5375242233276367
1747117781.9130454,76079,2.5981338024139404
1747117859.623281,76279,2.378835439682007
1747117983.9502127,76599,2.5158095359802246
1747118054.3052714,76779,2.3950579166412354
1747118070.031623,76819,2.3682808876037598
1747118148.0611422,77019,2.4192702770233154
1747118280.9102697,77199,2.3840298652648926
1747118304.6973414,77259,2.4743316173553467
1747118539.406567,77859,2.3767871856689453
1747118585.9734802,77979,2.282303810119629
1747118609.288428,78039,2.614658832550049
1747118640.3470707,78119,2.447960615158081
1747118687.4373507,78239,2.6635959148406982
1747118765.7004454,78439,2.426713705062866
1747118781.2620418,78479,2.3577945232391357
1747118804.488607,78539,2.5509302616119385
1747119000.4861317,78879,2.592172384262085
1747119031.5689087,78959,2.3510971069335938
1747119101.982072,79139,2.483095169067383
1747119172.5232537,79319,2.413098096847534
1747119219.161415,79439,2.3674440383911133
1747119257.9732916,79539,2.3821041584014893
1747119305.1622937,79659,2.5390007495880127
1747119429.9596004,79979,2.3615100383758545
1747119461.420116,80059,2.404299736022949
1747119477.0159302,80099,2.4649574756622314
1747119610.5078866,80279,2.5140368938446045
1747119649.2887466,80379,2.476593494415283
1747119696.03296,80499,2.6078078746795654
1747119742.7681997,80619,2.5155491828918457
1747119797.0646303,80759,2.3720903396606445
1747120087.3343997,81499,2.4750115871429443
1747120119.1089172,81579,2.452244758605957
1747120150.6847425,81659,2.378157615661621
1747120347.280984,81999,2.5228867530822754
1747120393.959326,82119,2.3887429237365723
1747120441.020006,82239,2.3696563243865967
1747120464.9802878,82299,2.4412107467651367
1747120637.1624446,82739,2.2943637371063232
1747120691.7869072,82879,2.461564064025879
1747120715.28921,82939,2.432603597640991
1747120801.551965,83159,2.4784557819366455
1747120942.5421796,83359,2.4384284019470215
1747120950.3864312,83379,2.4542036056518555
1747120973.676909,83439,2.411900758743286
1747121059.4184952,83659,2.288682222366333
1747121177.0232556,83959,2.4424760341644287
1747121286.823841,84239,2.4883110523223877
1747121333.8877962,84359,2.4621353149414062
1747121349.457656,84399,2.3297085762023926
1747121405.2484,84539,2.4163663387298584
1747121547.0637174,84739,2.3911643028259277
1747121570.4133341,84799,2.527332305908203
1747121594.3100798,84859,2.474987030029297
1747121602.3076174,84879,2.4924559593200684
1747121633.40483,84959,2.5861082077026367
1747121815.092448,85419,2.585895538330078
1747121822.9771638,85439,2.6325478553771973
1747121956.5513093,85779,2.311866044998169
1747122042.539701,85999,2.624032735824585
1747122113.1620388,86179,2.371842861175537
1747122215.4171648,86279,2.4561266899108887
1747122254.9715965,86379,2.2341208457946777
1747122301.4032545,86499,2.464223623275757
1747122371.883094,86679,2.375455141067505
1747122631.4958346,87339,2.5303494930267334
1747122654.8797724,87399,2.467763900756836
1747122780.280122,87719,2.502411365509033
1747122905.697238,87879,2.54042649269104
1747122937.4055672,87959,2.4933574199676514
1747122960.6117234,88019,2.449070453643799
1747122984.2878928,88079,2.449598550796509
1747122992.1518548,88099,2.3977878093719482
1747123054.4996822,88259,2.5444254875183105
1747123070.0928326,88299,2.5641376972198486
1747123156.0529077,88519,2.372640609741211
1747123219.0888631,88679,2.439713716506958
1747123304.6921256,88899,2.444183111190796
1747123336.000614,88979,2.378441333770752
1747123398.6771412,89139,2.370666027069092
1747123643.0045269,89599,2.483120918273926
1747123689.6245248,89719,2.5269782543182373
1747123721.0645063,89799,2.5113954544067383
1747123839.2145312,90099,2.5900719165802
1747123886.5367906,90219,2.428501844406128
1747123909.8789787,90279,2.5157017707824707
